storeid,date,markdown1,markdown2,markdown3,markdown4,markdown5,totalmarkdown,hasmarkdown,markdownsegment
1,2022-11-05,1881.3,250.5,3108.59,1954.41,1909.0,9103.8,1,Promo modérée
1,2022-11-12,2343.3,168.91,475.27,411.34,2921.45,6320.27,1,Promo modérée
1,2022-11-19,1428.56,2605.8,894.38,3371.28,54.7,8354.720000000001,1,Promo modérée
1,2022-11-26,10922.61,487.06,4873.92,7463.63,5178.67,28925.89,1,Promo forte
1,2022-12-03,2921.57,2703.47,181.79,983.37,4276.85,11067.05,1,Promo modérée
1,2022-12-10,940.61,1391.1,1413.41,2042.8,349.81,6137.7300000000005,1,Promo modérée
1,2022-12-17,1547.64,2441.39,2738.92,569.16,4099.17,11396.279999999999,1,Promo modérée
1,2022-12-24,4600.67,6156.01,7621.36,348.18,261.03,18987.25,1,Promo modérée
1,2022-12-31,6535.44,2513.88,8535.25,6484.32,8299.45,32368.34,1,Promo forte
1,2023-01-07,9511.95,5365.15,8797.52,7674.1,5498.77,36847.490000000005,1,Promo forte
1,2023-01-14,2252.72,387.48,3816.2,2121.61,1028.89,9606.9,1,Promo modérée
1,2023-01-21,3357.87,1560.92,3089.27,1820.57,3834.82,13663.449999999999,1,Promo modérée
1,2023-01-28,670.08,86.35,3020.55,2171.08,3168.36,9116.42,1,Promo modérée
1,2023-02-04,2949.59,1176.73,1749.9,3164.56,1567.15,10607.929999999998,1,Promo modérée
1,2023-02-11,4311.82,2848.56,588.29,3243.06,2214.52,13206.25,1,Promo modérée
1,2023-02-18,1643.76,1900.2,960.58,265.52,579.96,5350.0199999999995,1,Promo modérée
1,2023-02-25,909.4,1037.0,3587.15,1658.87,3004.01,10196.43,1,Promo modérée
1,2023-03-04,1392.95,531.03,354.81,422.23,2073.5,4774.52,1,Promo faible
1,2023-03-11,196.56,2398.23,2511.6,286.16,3931.1,9323.65,1,Promo modérée
1,2023-03-18,3741.3,553.56,837.4,1296.65,2180.35,8609.26,1,Promo modérée
1,2023-03-25,183.42,757.31,2853.4,3133.22,2302.55,9229.900000000001,1,Promo modérée
1,2023-04-01,1212.35,807.73,1509.14,70.25,1449.36,5048.83,1,Promo modérée
1,2023-04-08,2967.96,2037.31,3156.68,1744.55,391.14,10297.64,1,Promo modérée
1,2023-04-15,637.9,851.33,1452.33,2260.71,2568.5,7770.77,1,Promo modérée
1,2023-04-22,508.91,458.58,983.83,562.38,839.55,3353.25,1,Promo faible
1,2023-04-29,2622.56,1231.19,3929.51,392.14,1790.35,9965.75,1,Promo modérée
1,2023-05-06,854.44,2005.93,3717.5,1948.67,2572.26,11098.800000000001,1,Promo modérée
1,2023-05-13,2127.18,1522.83,969.64,401.93,2747.79,7769.37,1,Promo modérée
1,2023-05-20,2662.95,155.47,1346.42,470.45,285.19,4920.48,1,Promo faible
1,2023-05-27,3407.51,2280.68,2382.55,1650.52,1853.28,11574.54,1,Promo modérée
1,2023-06-03,621.49,2192.6,3753.36,634.32,299.23,7501.0,1,Promo modérée
1,2023-06-10,3976.34,604.88,654.62,574.93,3665.59,9476.36,1,Promo modérée
1,2023-06-17,1962.23,2449.8,1756.54,1319.31,2082.06,9569.94,1,Promo modérée
1,2023-06-24,4497.87,1151.67,2174.21,3172.65,2809.07,13805.47,1,Promo modérée
1,2023-07-01,1531.99,5240.57,5456.64,4107.65,8849.54,25186.39,1,Promo forte
1,2023-07-08,3719.73,100.6,2279.56,2668.61,3945.45,12713.95,1,Promo modérée
1,2023-07-15,637.44,1191.86,3189.18,524.71,1031.63,6574.82,1,Promo modérée
1,2023-07-22,2713.62,755.4,1382.78,635.59,4088.03,9575.42,1,Promo modérée
1,2023-07-29,766.76,1758.69,2023.55,2140.09,81.5,6770.59,1,Promo modérée
1,2023-08-05,4612.5,2121.72,610.16,2017.01,2730.22,12091.609999999999,1,Promo modérée
1,2023-08-12,2254.2,339.71,3939.36,2936.14,560.98,10030.39,1,Promo modérée
1,2023-08-19,1995.01,164.28,1340.79,2809.99,20.84,6330.91,1,Promo modérée
1,2023-08-26,1731.73,1040.86,2950.0,1582.76,1010.72,8316.07,1,Promo modérée
1,2023-09-02,4608.18,6037.98,3189.07,4470.53,6259.42,24565.18,1,Promo forte
1,2023-09-09,743.31,1243.87,341.4,3489.06,2259.88,8077.5199999999995,1,Promo modérée
1,2023-09-16,4490.27,615.42,762.75,127.92,2124.3,8120.660000000001,1,Promo modérée
1,2023-09-23,2621.95,1322.29,1603.05,1958.74,698.58,8204.61,1,Promo modérée
1,2023-09-30,1353.72,1932.0,1634.94,88.85,702.69,5712.200000000001,1,Promo modérée
1,2023-10-07,1155.37,2015.68,78.84,364.38,3599.62,7213.89,1,Promo modérée
1,2023-10-14,1215.86,2166.8,3422.79,2905.77,1787.33,11498.55,1,Promo modérée
1,2023-10-21,65.01,256.53,831.55,92.86,816.46,2062.41,1,Promo faible
1,2023-10-28,1709.09,778.27,1518.77,2066.03,1206.29,7278.45,1,Promo modérée
1,2023-11-04,1472.33,2845.36,3054.42,490.4,3908.11,11770.62,1,Promo modérée
1,2023-11-11,112.35,806.03,2166.54,2217.17,1160.49,6462.58,1,Promo modérée
1,2023-11-18,858.4,816.92,73.56,3200.05,529.88,5478.81,1,Promo modérée
1,2023-11-25,9127.16,1362.38,96.76,1054.02,8910.18,20550.5,1,Promo forte
1,2023-12-02,876.86,2743.24,1675.08,1340.98,2335.13,8971.29,1,Promo modérée
1,2023-12-09,3015.76,736.05,1557.18,1010.43,1600.53,7919.950000000001,1,Promo modérée
1,2023-12-16,3318.36,2810.49,2930.29,752.29,140.32,9951.75,1,Promo modérée
1,2023-12-23,6565.27,2206.01,6784.03,820.81,743.86,17119.98,1,Promo modérée
1,2023-12-30,2710.42,5406.08,7034.86,5349.16,2694.24,23194.760000000002,1,Promo forte
1,2024-01-06,1505.0,6271.57,3924.85,1425.52,5364.82,18491.760000000002,1,Promo modérée
1,2024-01-13,3461.38,2547.59,998.67,1712.99,995.44,9716.070000000002,1,Promo modérée
1,2024-01-20,4626.24,541.73,2271.78,3204.21,152.76,10796.72,1,Promo modérée
1,2024-01-27,4721.33,1422.64,3448.17,2955.92,1435.95,13984.01,1,Promo modérée
1,2024-02-03,602.83,230.86,2785.16,1189.56,3261.45,8069.86,1,Promo modérée
1,2024-02-10,1593.76,1877.67,3543.91,2155.52,1048.32,10219.18,1,Promo modérée
1,2024-02-17,2644.69,2817.2,3195.13,3492.77,1578.2,13727.990000000002,1,Promo modérée
1,2024-02-24,4368.39,2952.25,3073.09,1462.18,1896.11,13752.02,1,Promo modérée
1,2024-03-02,1436.19,888.92,934.43,147.33,80.43,3487.2999999999997,1,Promo faible
1,2024-03-09,1091.27,2849.88,3145.38,312.94,1879.11,9278.58,1,Promo modérée
1,2024-03-16,835.17,2973.51,926.69,3299.56,2923.41,10958.34,1,Promo modérée
1,2024-03-23,1102.43,559.31,3118.34,1225.44,260.29,6265.81,1,Promo modérée
1,2024-03-30,869.48,1188.73,3032.95,2436.07,692.53,8219.76,1,Promo modérée
1,2024-04-06,2964.7,1740.26,365.95,3071.11,1195.2,9337.220000000001,1,Promo modérée
1,2024-04-13,4047.58,1965.73,2203.43,304.45,1838.04,10359.23,1,Promo modérée
1,2024-04-20,405.23,660.55,2733.04,266.46,3830.43,7895.709999999999,1,Promo modérée
1,2024-04-27,1739.05,2034.05,2262.93,934.6,3953.83,10924.46,1,Promo modérée
1,2024-05-04,3541.81,2511.04,2789.89,2380.49,2783.75,14006.98,1,Promo modérée
1,2024-05-11,146.24,2477.45,515.48,1172.92,3345.79,7657.88,1,Promo modérée
1,2024-05-18,31.93,861.11,2467.71,3434.15,2843.16,9638.06,1,Promo modérée
1,2024-05-25,534.9,2283.08,2165.07,3370.47,1538.42,9891.94,1,Promo modérée
1,2024-06-01,3439.43,203.51,1203.85,2478.6,303.08,7628.469999999999,1,Promo modérée
1,2024-06-08,4357.68,2920.47,3875.51,2623.78,585.39,14362.83,1,Promo modérée
1,2024-06-15,2443.22,2311.22,2733.18,1560.66,1231.32,10279.599999999999,1,Promo modérée
1,2024-06-22,3974.05,2081.05,883.08,288.33,3062.25,10288.76,1,Promo modérée
1,2024-06-29,2161.67,2830.85,1678.91,2234.84,1789.17,10695.44,1,Promo modérée
1,2024-07-06,2529.5,1406.49,273.98,5017.83,3648.41,12876.21,1,Promo modérée
1,2024-07-13,4343.12,2329.79,3083.69,2956.74,3424.61,16137.95,1,Promo modérée
1,2024-07-20,3083.25,2389.61,1926.09,410.58,563.34,8372.87,1,Promo modérée
1,2024-07-27,321.04,1745.91,1075.97,2791.46,1396.63,7331.01,1,Promo modérée
1,2024-08-03,2399.69,1800.06,1166.65,2432.44,3870.55,11669.39,1,Promo modérée
1,2024-08-10,1210.23,2959.99,569.98,1746.11,2781.7,9268.009999999998,1,Promo modérée
1,2024-08-17,2588.56,263.6,1402.51,116.21,353.6,4724.4800000000005,1,Promo faible
1,2024-08-24,4002.93,600.45,669.93,365.99,2863.94,8503.24,1,Promo modérée
1,2024-08-31,2706.48,2127.18,3483.88,2499.3,3607.78,14424.62,1,Promo modérée
1,2024-09-07,6023.52,5394.17,3980.4,4955.55,5211.39,25565.03,1,Promo forte
1,2024-09-14,797.72,2615.35,876.86,3415.53,1516.03,9221.49,1,Promo modérée
1,2024-09-21,2776.82,2157.61,913.82,3487.17,4386.57,13721.99,1,Promo modérée
1,2024-09-28,153.26,773.05,1850.49,3038.95,3272.26,9088.01,1,Promo modérée
1,2024-10-05,4938.25,120.33,3468.13,2025.36,1973.77,12525.84,1,Promo modérée
1,2024-10-12,2108.6,830.48,2369.4,3193.27,947.98,9449.73,1,Promo modérée
1,2024-10-19,3579.12,2727.1,718.73,831.4,4371.28,12227.629999999997,1,Promo modérée
1,2024-10-26,4353.75,1335.92,2059.27,1257.32,2668.28,11674.54,1,Promo modérée
1,2024-11-02,3283.68,975.57,3093.89,458.06,4364.19,12175.39,1,Promo modérée
1,2024-11-09,2598.87,1011.01,3315.53,1508.11,1119.21,9552.73,1,Promo modérée
1,2024-11-16,183.36,2209.21,2655.22,1661.21,3798.77,10507.77,1,Promo modérée
1,2024-11-23,1231.12,1780.35,502.36,4090.01,9272.4,16876.239999999998,1,Promo modérée
1,2024-11-30,3477.72,3347.75,365.84,1142.24,9767.64,18101.19,1,Promo modérée
1,2024-12-07,4339.59,1364.22,2062.38,1710.96,3000.89,12478.04,1,Promo modérée
1,2024-12-14,1009.27,2020.3,3879.65,328.65,3026.71,10264.579999999998,1,Promo modérée
1,2024-12-21,9219.27,6234.45,6012.58,3828.25,6116.69,31411.24,1,Promo forte
2,2022-01-01,7584.79,4464.99,1897.94,5073.42,3899.26,22920.4,1,Promo forte
2,2022-01-08,241.06,2931.52,1627.63,3047.64,3520.73,11368.58,1,Promo modérée
2,2022-01-15,1635.17,2002.78,3231.38,2668.0,3590.16,13127.49,1,Promo modérée
2,2022-01-22,28.79,973.76,1465.85,1386.6,3129.6,6984.599999999999,1,Promo modérée
2,2022-01-29,1136.35,219.59,2413.79,2338.74,2787.71,8896.18,1,Promo modérée
2,2022-02-05,2395.91,76.93,1364.99,1330.68,1794.7,6963.21,1,Promo modérée
2,2022-02-12,4064.93,2154.37,3822.09,63.81,881.0,10986.199999999999,1,Promo modérée
2,2022-02-19,4635.17,180.8,3737.74,1230.68,456.39,10240.779999999999,1,Promo modérée
2,2022-02-26,4015.13,1617.48,1245.23,2136.17,3222.68,12236.69,1,Promo modérée
2,2022-03-05,3405.59,544.32,2100.65,2481.66,480.95,9013.170000000002,1,Promo modérée
2,2022-03-12,4029.96,1650.68,173.65,2216.03,4281.32,12351.64,1,Promo modérée
2,2022-03-19,1060.22,1832.94,1644.11,2939.51,4050.1,11526.88,1,Promo modérée
2,2022-03-26,4113.07,1271.21,2670.2,334.37,2807.37,11196.220000000001,1,Promo modérée
2,2022-04-02,4313.99,650.22,382.86,82.74,2888.87,8318.68,1,Promo modérée
2,2022-04-09,2972.38,1490.3,3951.14,477.54,3128.15,12019.51,1,Promo modérée
2,2022-04-16,4956.28,385.18,416.44,2535.19,2602.74,10895.83,1,Promo modérée
2,2022-04-23,959.34,970.11,906.63,1242.49,312.41,4390.98,1,Promo faible
2,2022-04-30,2700.06,2640.24,2603.51,1865.35,1459.5,11268.66,1,Promo modérée
2,2022-05-07,2788.92,2191.95,1860.82,210.5,2530.34,9582.529999999999,1,Promo modérée
2,2022-05-14,2679.14,290.03,1801.48,2646.57,1564.07,8981.289999999999,1,Promo modérée
2,2022-05-21,1996.58,457.25,3969.93,3244.5,2429.81,12098.07,1,Promo modérée
2,2022-05-28,3776.35,383.14,3304.27,2737.1,3189.35,13390.210000000001,1,Promo modérée
2,2022-06-04,438.21,2810.87,2215.21,1069.34,1786.42,8320.05,1,Promo modérée
2,2022-06-11,2484.82,2976.47,3405.7,729.79,4187.68,13784.46,1,Promo modérée
2,2022-06-18,4340.28,2417.78,3160.12,1066.38,364.14,11348.7,1,Promo modérée
2,2022-06-25,4878.05,1922.92,3289.92,463.84,3879.07,14433.8,1,Promo modérée
2,2022-07-02,1923.22,3316.94,3508.23,1127.08,3638.59,13514.06,1,Promo modérée
2,2022-07-09,2747.65,2897.47,1729.99,1091.36,2277.64,10744.109999999999,1,Promo modérée
2,2022-07-16,3097.94,1950.6,608.1,214.72,3513.43,9384.79,1,Promo modérée
2,2022-07-23,3475.18,2951.04,956.72,497.87,546.23,8427.039999999999,1,Promo modérée
2,2022-07-30,2547.11,2990.09,3255.88,2153.27,1378.14,12324.490000000002,1,Promo modérée
2,2022-08-06,4433.02,1349.35,778.49,1287.16,1863.58,9711.6,1,Promo modérée
2,2022-08-13,2080.77,1444.03,76.77,909.35,3421.3,7932.22,1,Promo modérée
2,2022-08-20,1206.01,2927.62,3206.15,3358.52,2195.34,12893.640000000001,1,Promo modérée
2,2022-08-27,490.41,1464.72,600.19,1136.37,3318.11,7009.8,1,Promo modérée
2,2022-09-03,8635.18,5887.76,8406.95,6059.16,3122.53,32111.579999999998,1,Promo forte
2,2022-09-10,192.13,2705.29,1845.91,2230.21,2967.09,9940.630000000001,1,Promo modérée
2,2022-09-17,2592.04,450.51,2949.74,1792.78,3061.03,10846.1,1,Promo modérée
2,2022-09-24,356.28,36.33,3826.01,2581.28,1589.63,8389.529999999999,1,Promo modérée
2,2022-10-01,925.98,522.33,393.58,2311.06,3439.68,7592.629999999999,1,Promo modérée
2,2022-10-08,1477.22,2307.67,2498.65,1336.79,925.59,8545.92,1,Promo modérée
2,2022-10-15,2651.51,125.85,3873.96,2795.5,1317.7,10764.52,1,Promo modérée
2,2022-10-22,4058.85,1969.44,512.38,1183.94,4176.38,11900.990000000002,1,Promo modérée
2,2022-10-29,3064.7,2829.23,962.77,425.25,888.62,8170.570000000001,1,Promo modérée
2,2022-11-05,4306.85,2539.54,3675.71,882.84,3397.69,14802.630000000001,1,Promo modérée
2,2022-11-12,3280.81,532.29,2180.11,3446.34,4218.25,13657.8,1,Promo modérée
2,2022-11-19,4088.93,640.53,2023.41,2942.46,3297.61,12992.94,1,Promo modérée
2,2022-11-26,6215.24,4546.64,7685.24,4899.44,7535.1,30881.660000000003,1,Promo forte
2,2022-12-03,3632.31,2975.43,396.71,1405.23,3600.32,12010.0,1,Promo modérée
2,2022-12-10,940.12,1066.15,3135.17,1939.79,23.53,7104.76,1,Promo modérée
2,2022-12-17,4790.37,1103.82,1307.73,521.11,1375.22,9098.25,1,Promo modérée
2,2022-12-24,7942.78,5848.89,5218.79,3014.75,4084.96,26110.17,1,Promo forte
2,2022-12-31,8736.17,613.74,5176.18,3703.49,6359.02,24588.600000000002,1,Promo forte
2,2023-01-07,6638.36,4464.69,7083.9,2077.62,8167.99,28432.559999999998,1,Promo forte
2,2023-01-14,3924.48,2123.04,3154.46,1810.44,1980.9,12993.32,1,Promo modérée
2,2023-01-21,1103.06,1794.68,2942.65,3494.22,4199.01,13533.619999999999,1,Promo modérée
2,2023-01-28,591.68,1229.71,3359.21,1343.42,2573.43,9097.45,1,Promo modérée
2,2023-02-04,130.98,72.58,3326.79,955.75,2331.35,6817.450000000001,1,Promo modérée
2,2023-02-11,4363.65,2525.8,744.41,2809.25,2061.84,12504.95,1,Promo modérée
2,2023-02-18,2482.31,1310.55,2918.03,2679.3,715.09,10105.279999999999,1,Promo modérée
2,2023-02-25,4783.07,206.87,228.22,987.65,1177.68,7383.49,1,Promo modérée
2,2023-03-04,3796.99,1349.22,3106.84,228.78,2194.07,10675.9,1,Promo modérée
2,2023-03-11,2662.1,1233.29,1389.37,3149.42,98.21,8532.39,1,Promo modérée
2,2023-03-18,261.29,1256.38,1040.63,2557.87,4415.84,9532.01,1,Promo modérée
2,2023-03-25,2319.66,2916.02,2434.11,1223.27,513.43,9406.490000000002,1,Promo modérée
2,2023-04-01,2806.11,1570.17,459.08,3010.49,3252.66,11098.51,1,Promo modérée
2,2023-04-08,2291.5,1454.09,663.1,3309.94,3824.89,11543.52,1,Promo modérée
2,2023-04-15,2727.16,186.82,2050.01,2822.41,2066.58,9852.98,1,Promo modérée
2,2023-04-22,823.53,990.65,3027.01,1817.85,921.97,7581.010000000001,1,Promo modérée
2,2023-04-29,2256.2,2954.97,3088.05,95.09,293.42,8687.730000000001,1,Promo modérée
2,2023-05-06,527.37,1970.34,3288.41,1331.47,3490.25,10607.84,1,Promo modérée
2,2023-05-13,3964.27,1732.78,2538.33,2792.7,1781.87,12809.95,1,Promo modérée
2,2023-05-20,3966.31,950.29,3428.72,3171.5,1246.07,12762.89,1,Promo modérée
2,2023-05-27,4469.95,1962.88,608.42,1541.13,2768.84,11351.220000000001,1,Promo modérée
2,2023-06-03,4835.63,1253.28,3936.44,2337.72,2856.02,15219.09,1,Promo modérée
2,2023-06-10,63.04,1679.27,2109.6,2517.74,4006.16,10375.81,1,Promo modérée
2,2023-06-17,4095.32,1622.38,2840.97,1100.23,2120.26,11779.16,1,Promo modérée
2,2023-06-24,4141.25,1005.62,695.05,2492.05,3716.9,12050.87,1,Promo modérée
2,2023-07-01,4953.86,4942.25,5730.1,4781.15,3488.51,23895.870000000003,1,Promo forte
2,2023-07-08,631.32,2028.53,1300.42,2402.15,313.39,6675.81,1,Promo modérée
2,2023-07-15,1396.38,1928.65,2776.6,1794.29,1373.9,9269.82,1,Promo modérée
2,2023-07-22,4691.52,2613.61,3064.26,2759.57,2992.43,16121.390000000001,1,Promo modérée
2,2023-07-29,554.95,1341.17,1841.43,3025.97,2459.92,9223.44,1,Promo modérée
2,2023-08-05,210.12,2219.71,3672.31,980.13,3862.54,10944.81,1,Promo modérée
2,2023-08-12,90.03,2888.43,2906.68,1066.63,3732.28,10684.05,1,Promo modérée
2,2023-08-19,2703.49,289.6,967.58,43.41,2109.46,6113.539999999999,1,Promo modérée
2,2023-08-26,3715.97,144.43,3611.58,2982.92,3005.12,13460.02,1,Promo modérée
2,2023-09-02,2634.61,5244.22,305.1,4487.61,9854.83,22526.370000000003,1,Promo forte
2,2023-09-09,2994.89,344.8,375.43,3183.69,3011.4,9910.21,1,Promo modérée
2,2023-09-16,2152.14,950.84,1738.38,2708.58,2708.66,10258.6,1,Promo modérée
2,2023-09-23,2958.49,2107.9,949.73,1793.27,469.01,8278.4,1,Promo modérée
2,2023-09-30,3003.26,2230.78,2025.06,2219.36,319.19,9797.650000000001,1,Promo modérée
2,2023-10-07,700.12,830.44,3886.13,1159.71,2169.18,8745.58,1,Promo modérée
2,2023-10-14,2582.86,16.52,30.66,766.74,165.25,3562.0299999999997,1,Promo faible
2,2023-10-21,2563.34,880.47,3727.01,1389.55,391.92,8952.29,1,Promo modérée
2,2023-10-28,4371.11,1480.64,2809.04,3474.86,591.7,12727.350000000002,1,Promo modérée
2,2023-11-04,4538.06,2142.1,2431.62,1082.8,3707.06,13901.639999999998,1,Promo modérée
2,2023-11-11,255.68,772.82,238.1,2113.28,3089.65,6469.530000000001,1,Promo modérée
2,2023-11-18,605.13,1256.84,3004.71,248.53,360.81,5476.02,1,Promo modérée
2,2023-11-25,3981.12,3918.16,89.15,4897.94,9041.54,21927.91,1,Promo forte
2,2023-12-02,4512.27,199.33,2135.87,497.48,52.68,7397.630000000001,1,Promo modérée
2,2023-12-09,218.7,369.01,2234.57,1201.09,3281.28,7304.65,1,Promo modérée
2,2023-12-16,3364.83,826.14,1225.25,2761.45,2008.89,10186.56,1,Promo modérée
2,2023-12-23,4740.84,2104.52,5123.35,2858.03,5950.63,20777.370000000003,1,Promo forte
2,2023-12-30,4735.82,941.12,7832.85,2663.26,1529.15,17702.2,1,Promo modérée
2,2024-01-06,788.83,2703.55,2738.71,5213.83,5997.21,17442.13,1,Promo modérée
2,2024-01-13,3441.37,421.66,1942.36,96.38,2274.55,8176.32,1,Promo modérée
2,2024-01-20,1939.93,480.07,93.41,2646.75,2063.35,7223.51,1,Promo modérée
2,2024-01-27,1569.83,2665.21,2411.77,2893.48,4428.06,13968.349999999999,1,Promo modérée
2,2024-02-03,1701.94,1624.22,616.58,1937.99,2437.67,8318.4,1,Promo modérée
2,2024-02-10,1296.67,583.87,230.59,1198.57,1216.11,4525.8099999999995,1,Promo faible
2,2024-02-17,695.98,1332.13,2504.94,1711.14,1808.0,8052.1900000000005,1,Promo modérée
2,2024-02-24,3103.3,603.94,1580.55,138.11,2139.96,7565.86,1,Promo modérée
2,2024-03-02,3610.72,1600.16,3479.88,457.28,3557.29,12705.330000000002,1,Promo modérée
2,2024-03-09,4720.21,446.39,1850.7,3433.46,2175.33,12626.09,1,Promo modérée
2,2024-03-16,1016.12,2285.39,1546.16,1789.46,2215.46,8852.59,1,Promo modérée
2,2024-03-23,4137.59,2293.58,2294.12,3346.17,902.14,12973.6,1,Promo modérée
2,2024-03-30,4465.45,187.37,3533.86,1569.12,2296.95,12052.75,1,Promo modérée
2,2024-04-06,3438.61,2168.12,2770.13,470.52,1347.28,10194.660000000002,1,Promo modérée
2,2024-04-13,4787.24,26.59,3991.28,2368.87,3728.11,14902.09,1,Promo modérée
2,2024-04-20,3702.38,428.55,3013.71,2691.23,2963.43,12799.300000000001,1,Promo modérée
2,2024-04-27,2438.14,232.95,1630.17,1424.87,297.04,6023.17,1,Promo modérée
2,2024-05-04,361.58,2865.35,2090.31,1048.48,345.88,6711.599999999999,1,Promo modérée
2,2024-05-11,364.51,1208.62,1181.16,813.35,1264.52,4832.16,1,Promo faible
2,2024-05-18,1607.48,1429.31,904.12,2241.67,4405.42,10588.0,1,Promo modérée
2,2024-05-25,4443.3,1509.25,1797.4,2050.53,2811.53,12612.010000000002,1,Promo modérée
2,2024-06-01,4112.67,2411.88,2210.0,1820.59,642.94,11198.08,1,Promo modérée
2,2024-06-08,669.14,1888.67,217.33,2620.26,1429.14,6824.54,1,Promo modérée
2,2024-06-15,3534.88,188.07,3357.35,13.37,1110.71,8204.380000000001,1,Promo modérée
2,2024-06-22,1351.97,2528.14,1253.39,2761.26,4013.42,11908.18,1,Promo modérée
2,2024-06-29,446.45,2061.06,1975.26,1356.77,2847.2,8686.739999999998,1,Promo modérée
2,2024-07-06,7330.24,6375.91,6697.13,7320.95,6955.15,34679.38,1,Promo forte
2,2024-07-13,240.93,1080.15,3827.2,1751.4,1947.28,8846.960000000001,1,Promo modérée
2,2024-07-20,261.78,2302.7,1666.02,2877.63,3826.57,10934.7,1,Promo modérée
2,2024-07-27,1078.7,2033.44,2431.01,1033.56,614.7,7191.410000000001,1,Promo modérée
