date,storeid,ca_total,nb_depts
2022-12-10,43,1688500.0,20
2022-12-10,32,1653312.0,20
2022-12-10,19,1590300.0,20
2022-12-10,24,1588836.0,20
2022-12-10,41,1587992.0,20
2022-12-10,6,1566734.0,20
2022-12-10,20,1505374.0,20
2022-12-10,27,1475070.0,20
2022-12-10,16,1456274.0,20
2022-12-10,7,1427348.0,20
2022-12-10,50,1394297.0,20
2022-12-10,33,1369554.0,20
2022-12-10,45,1350397.0,20
2022-12-10,14,1333625.0,20
2022-12-10,17,1283418.0,20
2022-12-10,10,1200602.0,20
2022-12-10,25,1164714.0,20
2022-12-10,22,1084703.0,20
2022-12-10,30,1064351.0,20
2022-12-10,21,1058402.0,20
2022-12-10,31,890443.0,20
2022-12-10,48,874267.0,20
2022-12-10,42,856349.0,20
2022-12-10,28,855104.0,20
2022-12-10,49,848399.0,20
2022-12-10,26,815418.0,20
2022-12-10,3,775573.0,20
2022-12-10,4,762412.0,20
2022-12-10,39,698075.0,20
2022-12-10,9,686706.0,20
2022-12-10,18,671811.0,20
2022-12-10,29,575690.0,20
2022-12-10,46,573130.0,20
2022-12-10,36,496378.0,20
2022-12-10,44,476881.0,20
2022-12-10,35,404500.0,20
2022-12-10,13,372142.0,20
2022-12-10,34,326136.0,20
2022-12-10,12,231095.0,20
2022-12-10,8,227211.0,20
2022-12-10,2,152120.0,20
2022-12-17,41,2114344.0,20
2022-12-17,32,2080064.0,20
2022-12-17,23,1965701.0,20
2022-12-17,15,1945502.0,20
2022-12-17,11,1874264.0,20
2022-12-17,38,1837302.0,20
2022-12-17,6,1829977.0,20
2022-12-17,47,1799812.0,20
2022-12-17,19,1749492.0,20
2022-12-17,45,1741750.0,20
2022-12-17,24,1740176.0,20
2022-12-17,40,1716712.0,20
2022-12-17,43,1666949.0,20
2022-12-17,1,1631511.0,20
2022-12-17,16,1598720.0,20
2022-12-17,33,1564238.0,20
2022-12-17,5,1554800.0,20
2022-12-17,37,1492787.0,20
2022-12-17,17,1455508.0,20
2022-12-17,20,1427357.0,20
2022-12-17,50,1376994.0,20
2022-12-17,30,1333678.0,20
2022-12-17,27,1242146.0,20
2022-12-17,22,1226870.0,20
2022-12-17,21,1186308.0,20
2022-12-17,14,1095574.0,20
2022-12-17,10,1078029.0,20
2022-12-17,7,1047167.0,20
2022-12-17,25,977885.0,20
2022-12-17,26,938938.0,20
2022-12-17,3,932964.0,20
2022-12-17,31,837673.0,20
2022-12-17,9,786049.0,20
2022-12-17,28,737719.0,20
2022-12-17,18,726119.0,20
2022-12-17,39,695115.0,20
2022-12-17,42,692173.0,20
2022-12-17,49,679309.0,20
2022-12-17,48,610669.0,20
2022-12-17,4,570909.0,20
2022-12-17,29,563340.0,20
2022-12-17,36,508543.0,20
2022-12-17,46,504534.0,20
2022-12-17,44,471420.0,20
2022-12-17,13,440939.0,20
2022-12-17,35,394384.0,20
2022-12-17,34,317573.0,20
2022-12-17,12,273584.0,20
2022-12-17,8,193760.0,20
2022-12-17,2,163139.0,20
2022-12-24,32,3717899.0,20
2022-12-24,11,3383668.0,20
2022-12-24,23,3320049.0,20
2022-12-24,47,3306220.0,20
2022-12-24,5,3280751.0,20
2022-12-24,38,3253314.0,20
2022-12-24,37,3151309.0,20
2022-12-24,15,3148393.0,20
2022-12-24,6,3084604.0,20
2022-12-24,41,3047803.0,20
2022-12-24,45,2943499.0,20
2022-12-24,1,2808610.0,20
2022-12-24,24,2509263.0,20
2022-12-24,20,2438469.0,20
2022-12-24,40,2388027.0,20
2022-12-24,30,2374777.0,20
2022-12-24,33,2337137.0,20
2022-12-24,50,2326631.0,20
2022-12-24,19,2296505.0,20
2022-12-24,43,2210363.0,20
2022-12-24,16,2165992.0,20
2022-12-24,27,2120402.0,20
2022-12-24,17,2093674.0,20
2022-12-24,14,2003333.0,20
2022-12-24,22,1858927.0,20
2022-12-24,7,1852774.0,20
2022-12-24,10,1665242.0,20
2022-12-24,25,1663698.0,20
2022-12-24,49,1614378.0,20
2022-12-24,9,1469935.0,20
2022-12-24,21,1440582.0,20
2022-12-24,48,1384016.0,20
2022-12-24,39,1275674.0,20
2022-12-24,31,1263439.0,20
2022-12-24,26,1233722.0,20
2022-12-24,42,1174671.0,20
2022-12-24,28,1114913.0,20
2022-12-24,3,1103755.0,20
2022-12-24,46,975162.0,20
2022-12-24,18,970779.0,20
2022-12-24,4,848919.0,20
2022-12-24,29,829332.0,20
2022-12-24,44,795209.0,20
2022-12-24,36,774907.0,20
2022-12-24,35,756327.0,20
2022-12-24,13,666039.0,20
2022-12-24,12,508069.0,20
2022-12-24,34,381941.0,20
2022-12-24,8,359460.0,20
2022-12-24,2,357314.0,20
2022-12-31,5,3525506.0,20
2022-12-31,1,3395387.0,20
2022-12-31,40,2959551.0,20
2022-12-31,11,2906708.0,20
2022-12-31,19,2896588.0,20
2022-12-31,23,2890266.0,20
2022-12-31,37,2809099.0,20
2022-12-31,38,2795006.0,20
2022-12-31,6,2772731.0,20
2022-12-31,20,2689382.0,20
2022-12-31,32,2621827.0,20
2022-12-31,45,2513669.0,20
2022-12-31,24,2488105.0,20
2022-12-31,47,2471559.0,20
2022-12-31,50,2388575.0,20
2022-12-31,27,2328059.0,20
2022-12-31,41,2307489.0,20
2022-12-31,17,2262046.0,20
2022-12-31,43,2247499.0,20
2022-12-31,15,2246023.0,20
2022-12-31,14,2113294.0,20
2022-12-31,16,2107257.0,20
2022-12-31,30,2032855.0,20
2022-12-31,33,1990959.0,20
2022-12-31,22,1861413.0,20
2022-12-31,25,1824302.0,20
2022-12-31,21,1809886.0,20
2022-12-31,7,1715949.0,20
2022-12-31,31,1639269.0,20
2022-12-31,49,1486490.0,20
2022-12-31,10,1481286.0,20
2022-12-31,3,1236607.0,20
2022-12-31,28,1236223.0,20
2022-12-31,42,1049305.0,20
2022-12-31,39,1023299.0,20
2022-12-31,46,1018622.0,20
2022-12-31,4,1008030.0,20
2022-12-31,48,1003546.0,20
2022-12-31,26,997405.0,20
2022-12-31,9,984018.0,20
2022-12-31,18,972936.0,20
2022-12-31,29,866255.0,20
2022-12-31,44,828743.0,20
2022-12-31,36,710716.0,20
2022-12-31,35,673475.0,20
2022-12-31,13,535527.0,20
2022-12-31,34,479959.0,20
2022-12-31,12,372003.0,20
2022-12-31,8,358863.0,20
2022-12-31,2,293159.0,20
2023-12-02,1,2138760.0,20
2023-12-02,38,1982365.0,20
2023-12-02,23,1953195.0,20
2023-12-02,24,1943976.0,20
2023-12-02,15,1925667.0,20
2023-12-02,47,1873662.0,20
2023-12-02,6,1866349.0,20
2023-12-02,11,1842009.0,20
2023-12-02,45,1838192.0,20
2023-12-02,41,1813290.0,20
2023-12-02,37,1757698.0,20
2023-12-02,40,1735302.0,20
2023-12-02,5,1706948.0,20
2023-12-02,32,1623108.0,20
2023-12-02,17,1579545.0,20
2023-12-02,20,1579531.0,20
2023-12-02,50,1536124.0,20
2023-12-02,33,1535191.0,20
2023-12-02,19,1474768.0,20
2023-12-02,30,1463807.0,20
2023-12-02,16,1372247.0,20
2023-12-02,43,1260388.0,20
2023-12-02,14,1202896.0,20
2023-12-02,10,1175096.0,20
2023-12-02,21,1112824.0,20
2023-12-02,7,1041234.0,20
2023-12-02,27,1036806.0,20
2023-12-02,25,1007554.0,20
2023-12-02,26,988672.0,20
2023-12-02,22,962402.0,20
2023-12-02,9,894108.0,20
2023-12-02,3,878131.0,20
2023-12-02,49,814913.0,20
2023-12-02,31,754622.0,20
2023-12-02,42,748039.0,20
2023-12-02,28,721270.0,20
2023-12-02,48,676139.0,20
2023-12-02,18,639068.0,20
2023-12-02,4,612948.0,20
2023-12-02,46,609296.0,20
2023-12-02,39,550168.0,20
2023-12-02,29,536991.0,20
2023-12-02,35,478957.0,20
2023-12-02,44,457547.0,20
2023-12-02,36,378498.0,20
2023-12-02,13,349010.0,20
2023-12-02,34,296835.0,20
2023-12-02,12,258786.0,20
2023-12-02,8,242199.0,20
2023-12-02,2,180524.0,20
2023-12-09,23,2223800.0,20
2023-12-09,37,2060917.0,20
2023-12-09,6,1990654.0,20
2023-12-09,38,1940120.0,20
2023-12-09,11,1925699.0,20
2023-12-09,24,1837401.0,20
2023-12-09,5,1816714.0,20
2023-12-09,41,1780963.0,20
2023-12-09,43,1635409.0,20
2023-12-09,1,1617709.0,20
2023-12-09,32,1614303.0,20
2023-12-09,33,1593816.0,20
2023-12-09,19,1571282.0,20
2023-12-09,47,1565609.0,20
2023-12-09,20,1532769.0,20
2023-12-09,7,1531896.0,20
2023-12-09,40,1528777.0,20
2023-12-09,22,1523210.0,20
2023-12-09,15,1484161.0,20
2023-12-09,16,1467088.0,20
2023-12-09,45,1413588.0,20
2023-12-09,50,1411375.0,20
2023-12-09,30,1298439.0,20
2023-12-09,17,1287328.0,20
2023-12-09,27,1237200.0,20
2023-12-09,10,1101134.0,20
2023-12-09,14,1047854.0,20
2023-12-09,21,1018984.0,20
2023-12-09,26,930272.0,20
2023-12-09,25,892578.0,20
2023-12-09,49,820589.0,20
2023-12-09,3,781760.0,20
2023-12-09,31,762279.0,20
2023-12-09,42,734122.0,20
2023-12-09,9,673924.0,20
2023-12-09,39,657641.0,20
2023-12-09,28,633871.0,20
2023-12-09,18,620633.0,20
2023-12-09,29,619378.0,20
2023-12-09,48,615032.0,20
2023-12-09,4,560989.0,20
2023-12-09,46,511086.0,20
2023-12-09,35,491628.0,20
2023-12-09,13,435356.0,20
2023-12-09,36,399119.0,20
2023-12-09,44,382410.0,20
2023-12-09,34,331589.0,20
2023-12-09,12,243647.0,20
2023-12-09,2,202502.0,20
2023-12-09,8,184989.0,20
2023-12-16,41,2158560.0,20
2023-12-16,32,1989993.0,20
2023-12-16,1,1989804.0,20
2023-12-16,6,1963809.0,20
2023-12-16,37,1912103.0,20
2023-12-16,11,1736468.0,20
2023-12-16,38,1715518.0,20
2023-12-16,15,1712143.0,20
2023-12-16,19,1696005.0,20
2023-12-16,5,1691820.0,20
2023-12-16,45,1674727.0,20
2023-12-16,23,1664005.0,20
2023-12-16,47,1645438.0,20
2023-12-16,16,1553633.0,20
2023-12-16,24,1540284.0,20
2023-12-16,40,1502409.0,20
2023-12-16,17,1403806.0,20
2023-12-16,27,1396913.0,20
2023-12-16,7,1388809.0,20
2023-12-16,43,1345234.0,20
2023-12-16,20,1221253.0,20
2023-12-16,33,1175477.0,20
2023-12-16,22,1156807.0,20
2023-12-16,14,1128308.0,20
2023-12-16,50,1120387.0,20
2023-12-16,30,1003386.0,20
2023-12-16,49,960315.0,20
2023-12-16,10,940578.0,20
2023-12-16,25,853285.0,20
2023-12-16,42,821196.0,20
2023-12-16,26,812612.0,20
2023-12-16,21,807874.0,20
2023-12-16,31,757750.0,20
2023-12-16,18,739841.0,20
2023-12-16,39,680131.0,20
2023-12-16,3,672447.0,20
2023-12-16,48,672204.0,20
2023-12-16,28,671247.0,20
2023-12-16,4,631635.0,20
2023-12-16,9,626405.0,20
2023-12-16,29,574722.0,20
2023-12-16,46,543620.0,20
2023-12-16,44,485229.0,20
2023-12-16,36,428209.0,20
2023-12-16,35,427350.0,20
2023-12-16,13,354398.0,20
2023-12-16,34,272266.0,20
2023-12-16,12,253725.0,20
2023-12-16,8,212908.0,20
2023-12-16,2,179724.0,20
2023-12-23,6,3594636.0,20
2023-12-23,5,3526067.0,20
2023-12-23,32,3487335.0,20
2023-12-23,1,3475904.0,20
2023-12-23,41,3316365.0,20
2023-12-23,11,3216432.0,20
2023-12-23,47,2879352.0,20
2023-12-23,17,2848240.0,20
2023-12-23,37,2800774.0,20
2023-12-23,19,2791098.0,20
2023-12-23,15,2692336.0,20
2023-12-23,38,2664944.0,20
2023-12-23,24,2648558.0,20
2023-12-23,23,2639839.0,20
2023-12-23,16,2545880.0,20
2023-12-23,50,2536711.0,20
2023-12-23,33,2502173.0,20
2023-12-23,43,2479500.0,20
2023-12-23,45,2441177.0,20
2023-12-23,30,2250717.0,20
2023-12-23,40,2139212.0,20
2023-12-23,20,1983831.0,20
2023-12-23,22,1972056.0,20
2023-12-23,27,1912581.0,20
2023-12-23,7,1906870.0,20
2023-12-23,25,1801126.0,20
2023-12-23,14,1766295.0,20
2023-12-23,21,1701274.0,20
2023-12-23,10,1681637.0,20
2023-12-23,49,1647070.0,20
2023-12-23,42,1468503.0,20
2023-12-23,3,1349102.0,20
2023-12-23,31,1310269.0,20
2023-12-23,26,1249870.0,20
2023-12-23,48,1233251.0,20
2023-12-23,28,1038578.0,20
2023-12-23,18,1027699.0,20
2023-12-23,9,997416.0,20
2023-12-23,29,951327.0,20
2023-12-23,39,894516.0,20
2023-12-23,46,890730.0,20
2023-12-23,4,820712.0,20
2023-12-23,44,774108.0,20
2023-12-23,35,687925.0,20
2023-12-23,36,666172.0,20
2023-12-23,13,538830.0,20
2023-12-23,34,480589.0,20
2023-12-23,12,404201.0,20
2023-12-23,8,307857.0,20
2023-12-23,2,277504.0,20
2023-12-30,32,4100956.0,20
2023-12-30,24,3582403.0,20
2023-12-30,1,3335703.0,20
2023-12-30,6,3215384.0,20
2023-12-30,41,3203784.0,20
2023-12-30,15,3112071.0,20
2023-12-30,37,3098088.0,20
2023-12-30,23,3067733.0,20
2023-12-30,43,3058238.0,20
2023-12-30,40,3030703.0,20
2023-12-30,38,3007066.0,20
2023-12-30,5,2964519.0,20
2023-12-30,20,2930958.0,20
2023-12-30,45,2814632.0,20
2023-12-30,11,2731162.0,20
2023-12-30,19,2656064.0,20
2023-12-30,16,2589669.0,20
2023-12-30,47,2588501.0,20
2023-12-30,30,2314811.0,20
2023-12-30,33,2189237.0,20
2023-12-30,17,2183122.0,20
2023-12-30,50,2099097.0,20
2023-12-30,22,2078182.0,20
2023-12-30,14,2071197.0,20
2023-12-30,7,1980191.0,20
2023-12-30,25,1791294.0,20
2023-12-30,10,1638052.0,20
2023-12-30,27,1557954.0,20
2023-12-30,21,1425135.0,20
2023-12-30,9,1407826.0,20
2023-12-30,31,1393829.0,20
2023-12-30,49,1388088.0,20
2023-12-30,42,1363045.0,20
2023-12-30,26,1345044.0,20
2023-12-30,28,1265365.0,20
2023-12-30,48,1207097.0,20
2023-12-30,39,1081067.0,20
2023-12-30,3,1076684.0,20
2023-12-30,18,1015992.0,20
2023-12-30,4,892641.0,20
2023-12-30,29,886695.0,20
2023-12-30,46,873540.0,20
2023-12-30,44,778279.0,20
2023-12-30,35,702220.0,20
2023-12-30,13,604906.0,20
2023-12-30,34,527332.0,20
2023-12-30,36,518207.0,20
2023-12-30,12,491704.0,20
2023-12-30,8,355810.0,20
2023-12-30,2,293857.0,20
2024-12-07,32,2196516.0,20
2024-12-07,6,2049418.0,20
2024-12-07,5,2021025.0,20
2024-12-07,47,1914657.0,20
2024-12-07,15,1877745.0,20
2024-12-07,41,1866707.0,20
2024-12-07,38,1862178.0,20
2024-12-07,37,1800163.0,20
2024-12-07,11,1786719.0,20
2024-12-07,19,1733755.0,20
2024-12-07,24,1679720.0,20
2024-12-07,1,1630637.0,20
2024-12-07,45,1522328.0,20
2024-12-07,23,1485240.0,20
2024-12-07,20,1483718.0,20
2024-12-07,33,1460499.0,20
2024-12-07,30,1455900.0,20
2024-12-07,17,1431563.0,20
2024-12-07,27,1425475.0,20
2024-12-07,22,1372548.0,20
2024-12-07,40,1372292.0,20
2024-12-07,50,1360241.0,20
2024-12-07,16,1356158.0,20
2024-12-07,14,1303404.0,20
2024-12-07,43,1270175.0,20
2024-12-07,21,1256534.0,20
2024-12-07,7,1224549.0,20
2024-12-07,25,1156807.0,20
2024-12-07,10,1030069.0,20
2024-12-07,49,932190.0,20
2024-12-07,31,884470.0,20
2024-12-07,3,815670.0,20
2024-12-07,42,810943.0,20
2024-12-07,26,723951.0,20
2024-12-07,9,702305.0,20
2024-12-07,39,682742.0,20
2024-12-07,28,672417.0,20
2024-12-07,48,647925.0,20
2024-12-07,4,633674.0,20
2024-12-07,29,620964.0,20
2024-12-07,18,600241.0,20
2024-12-07,46,589311.0,20
2024-12-07,44,519868.0,20
2024-12-07,36,396390.0,20
2024-12-07,13,384119.0,20
2024-12-07,35,344573.0,20
2024-12-07,34,266940.0,20
2024-12-07,2,205670.0,20
2024-12-07,12,204280.0,20
2024-12-07,8,181608.0,20
2024-12-14,11,2433585.0,20
2024-12-14,37,2240536.0,20
2024-12-14,1,2135894.0,20
2024-12-14,40,1870872.0,20
2024-12-14,6,1856925.0,20
2024-12-14,41,1821513.0,20
2024-12-14,38,1751776.0,20
2024-12-14,45,1722262.0,20
2024-12-14,43,1713841.0,20
2024-12-14,24,1683573.0,20
2024-12-14,5,1683092.0,20
2024-12-14,47,1677828.0,20
2024-12-14,19,1659885.0,20
2024-12-14,23,1634412.0,20
2024-12-14,32,1621567.0,20
2024-12-14,20,1504865.0,20
2024-12-14,17,1452169.0,20
2024-12-14,15,1439895.0,20
2024-12-14,50,1366642.0,20
2024-12-14,16,1360846.0,20
2024-12-14,22,1334159.0,20
2024-12-14,7,1332879.0,20
2024-12-14,33,1292032.0,20
2024-12-14,30,1278789.0,20
2024-12-14,21,1187401.0,20
2024-12-14,14,1139463.0,20
2024-12-14,27,1049359.0,20
2024-12-14,10,893889.0,20
2024-12-14,25,861345.0,20
2024-12-14,26,810024.0,20
2024-12-14,42,777787.0,20
2024-12-14,28,757560.0,20
2024-12-14,9,737113.0,20
2024-12-14,31,728388.0,20
2024-12-14,39,714771.0,20
2024-12-14,48,680108.0,20
2024-12-14,49,667227.0,20
2024-12-14,29,618300.0,20
2024-12-14,3,604239.0,20
2024-12-14,44,601901.0,20
2024-12-14,46,590943.0,20
2024-12-14,18,590528.0,20
2024-12-14,4,570378.0,20
2024-12-14,35,452854.0,20
2024-12-14,13,409580.0,20
2024-12-14,34,348793.0,20
2024-12-14,36,309759.0,20
2024-12-14,12,210995.0,20
2024-12-14,8,197666.0,20
2024-12-14,2,156888.0,20
2024-12-21,11,3915768.0,20
2024-12-21,6,3671535.0,20
2024-12-21,47,3269467.0,20
2024-12-21,1,3250187.0,20
2024-12-21,23,3126912.0,20
2024-12-21,19,3085032.0,20
2024-12-21,5,2976209.0,20
2024-12-21,38,2883550.0,20
2024-12-21,37,2863824.0,20
2024-12-21,41,2857742.0,20
2024-12-21,45,2783544.0,20
2024-12-21,32,2706516.0,20
2024-12-21,40,2697167.0,20
2024-12-21,50,2692082.0,20
2024-12-21,24,2670235.0,20
2024-12-21,20,2655051.0,20
2024-12-21,43,2647428.0,20
2024-12-21,17,2635502.0,20
2024-12-21,15,2504835.0,20
2024-12-21,16,2407140.0,20
2024-12-21,30,2286399.0,20
2024-12-21,22,2177466.0,20
2024-12-21,21,1963951.0,20
2024-12-21,33,1940211.0,20
2024-12-21,7,1918680.0,20
2024-12-21,14,1879521.0,20
2024-12-21,25,1778953.0,20
2024-12-21,27,1772439.0,20
2024-12-21,10,1593665.0,20
2024-12-21,26,1400165.0,20
2024-12-21,3,1341176.0,20
2024-12-21,9,1339903.0,20
2024-12-21,49,1242822.0,20
2024-12-21,28,1233369.0,20
2024-12-21,31,1204723.0,20
2024-12-21,42,1189542.0,20
2024-12-21,48,1090637.0,20
2024-12-21,4,1044553.0,20
2024-12-21,29,1017426.0,20
2024-12-21,39,982465.0,20
2024-12-21,18,931184.0,20
2024-12-21,46,720082.0,20
2024-12-21,13,669435.0,20
2024-12-21,35,661049.0,20
2024-12-21,44,544456.0,20
2024-12-21,36,535271.0,20
2024-12-21,12,399583.0,20
2024-12-21,8,329738.0,20
2024-12-21,34,323264.0,20
2024-12-21,2,270436.0,20
